Surat,Ayat,Sentence #,Kata,Label
,,,dan,O
,,,merekalah,O
,,,orang-orang,B-PER
,,,yang,I-PER
,,,beruntung,I-PER
2,6,Sentence: 13,sesungguhnya,O
,,,orang-orang,B-PER
,,,kafir,I-PER
,,,sama,O
,,,saja,O
,,,bagi,O
,,,mereka,O
,,,kamu,O
,,,beri,O
,,,peringatan,O
,,,atau,O
,,,tidak,O
,,,kamu,O
,,,beri,O
,,,peringatan,O
,,,mereka,O
,,,tidak,O
,,,juga,O
,,,akan,O
,,,beriman,O
2,7,Sentence: 14,allah,O
,,,telah,O
,,,mengunci-mati,O
,,,hati,O
,,,dan,O
,,,pendengaran,O
,,,mereka,O
,,,dan,O
,,,penglihatan,O
,,,mereka,O
,,,ditutup,O
,,,dan,O
,,,bagi,O
,,,mereka,O
,,,siksa,O
,,,yang,O
,,,amat,O
,,,berat,O
2,8,Sentence: 15,di,O
,,,antara,O
,,,manusia,O
,,,ada,O
,,,yang,O
,,,mengatakan,O
,,,kami,O
,,,beriman,O
,,,kepada,O
,,,allah,O
,,,dan,O
,,,hari,O
,,,kemudian,O
,,,pada,O
,,,hal,O
,,,mereka,O
,,,itu,O
,,,sesungguhnya,O
,,,bukan,O
,,,orang-orang,B-PER
,,,yang,I-PER
,,,beriman,I-PER
2,9,Sentence: 16,mereka,O
,,,hendak,O
,,,menipu,O
,,,allah,O
,,,dan,O
,,,orang-orang,B-PER
,,,yang,I-PER
,,,beriman,I-PER
,,,padahal,O
,,,mereka,O
,,,hanya,O
,,,menipu,O
,,,dirinya,O
,,,sendiri,O
,,,sedang,O
,,,mereka,O
,,,tidak,O
,,,sadar,O
2,10,Sentence: 17,dalam,O
,,,hati,O
,,,mereka,O
,,,ada,O
,,,penyakit,O
,,,lalu,O
,,,ditambah,O
,,,allah,O
,,,penyakitnya,O
,,,dan,O
,,,bagi,O
,,,mereka,O
,,,siksa,O
,,,yang,O
,,,pedih,O
,,,disebabkan,O
,,,mereka,O
,,,berdusta,O
2,11,Sentence: 18,dan,O
,,,bila,O
,,,dikatakan,O
,,,kepada,O
,,,mereka,O
,,,janganlah,O
,,,kamu,O
,,,membuat,O
,,,kerusakan,O
,,,di,O
,,,muka,O
,,,bumi,O
,,,mereka,O
,,,menjawab,O
,,,sesungguhnya,O
,,,kami,O
,,,orang-orang,B-PER
,,,yang,I-PER
,,,mengadakan,I-PER
,,,perbaikan,I-PER
2,12,Sentence: 19,ingatlah,O
,,,sesungguhnya,O
,,,mereka,O
,,,itulah,O
,,,orang-orang,B-PER
,,,yang,I-PER
,,,membuat,I-PER
,,,kerusakan,I-PER
,,,tetapi,O
,,,mereka,O
,,,tidak,O
,,,sadar,O
2,13,Sentence: 20,apabila,O
,,,dikatakan,O
,,,kepada,O
,,,mereka,O
,,,berimanlah,O
,,,kamu,O
,,,sebagaimana,O
,,,orang-orang,O
,,,lain,O
,,,telah,O
,,,beriman,O
,,,mereka,O
,,,menjawab,O
,,,akan,O
,,,berimankah,O
,,,kami,O
,,,sebagaimana,O
,,,orang-orang,B-PER
,,,yang,I-PER
,,,bodoh,I-PER
,,,itu,O
,,,telah,O
,,,beriman,O
,,,ingatlah,O
,,,sesungguhnya,O
,,,merekalah,O
,,,orang-orang,B-PER
,,,yang,I-PER
,,,bodoh,I-PER
,,,tetapi,O
,,,mereka,O
,,,tidak,O
,,,tahu,O
2,14,Sentence: 21,dan,O
,,,bila,O
,,,mereka,O
,,,berjumpa,O
,,,dengan,O
,,,orang-orang,B-PER
,,,yang,I-PER
,,,beriman,I-PER
,,,mereka,O
,,,mengatakan,O
,,,kami,O
,,,telah,O
,,,beriman,O
,,,dan,O
,,,bila,O
,,,mereka,O
,,,kembali,O
,,,kepada,O
,,,syaitan-syaitan,O
,,,mereka,O
,,,mereka,O
,,,mengatakan,O
,,,sesungguhnya,O
,,,kami,O
,,,sependirian,O
,,,dengan,O
,,,kamu,O
,,,kami,O
,,,hanyalah,O
,,,berolok-olok,O
2,15,Sentence: 22,allah,O
,,,akan,O
,,,membalas,O
,,,olok-olokan,O
,,,mereka,O
,,,dan,O
,,,membiarkan,O
,,,mereka,O
,,,terombang-ambing,O
,,,dalam,O
,,,kesesatan,O
,,,mereka,O
2,16,Sentence: 23,mereka,O
,,,itulah,O
,,,orang,O
,,,yang,O
,,,membeli,O
,,,kesesatan,O
,,,dengan,O
,,,petunjuk,O
,,,maka,O
,,,tidaklah,O
,,,beruntung,O
,,,perniagaan,O
,,,mereka,O
,,,dan,O
,,,tidaklah,O
,,,mereka,O
,,,mendapat,O
,,,petunjuk,O
2,17,Sentence: 24,perumpamaan,O
,,,mereka,O
,,,adalah,O
,,,seperti,O
,,,orang,O
,,,yang,O
,,,menyalakan,O
,,,api,O
,,,maka,O
,,,setelah,O
,,,api,O
,,,itu,O
,,,menerangi,O
,,,sekelilingnya,O
,,,allah,O
,,,hilangkan,O
,,,cahaya,O
,,,yang,O
,,,menyinari,O
,,,mereka,O
,,,dan,O
,,,membiarkan,O
,,,mereka,O
,,,dalam,O
,,,kegelapan,O
,,,tidak,O
,,,dapat,O
,,,melihat,O
2,18,Sentence: 25,mereka,O
,,,tuli,O
,,,bisu,O
,,,dan,O
,,,buta,O
,,,maka,O
,,,tidaklah,O
,,,mereka,O
,,,akan,O
,,,kembali,O
,,,ke,O
,,,jalan,O
,,,yang,O
,,,benar,O
2,19,Sentence: 26,atau,O
,,,seperti,O
,,,orang-orang,B-PER
,,,yang,I-PER
,,,ditimpa,I-PER
,,,hujan,I-PER
,,,lebat,I-PER
,,,dari,O
,,,langit,O
,,,disertai,O
,,,gelap,O
,,,gulita,O
,,,guruh,O
,,,dan,O
,,,kilat,O
,,,mereka,O
,,,menyumbat,O
,,,telinganya,O
,,,dengan,O
,,,anak,O
,,,jarinya,O
,,,karena,O
,,,mendengar,O
,,,suara,O
,,,petir,O
,,,sebab,O
,,,takut,O
,,,akan,O
,,,mati,O
,,,dan,O
,,,allah,O
,,,meliputi,O
,,,orang-orang,B-PER
,,,yang,I-PER
,,,kafir,I-PER
2,20,Sentence: 27,hampir-hampir,O
,,,kilat,O
,,,itu,O
,,,menyambar,O
,,,penglihatan,O
,,,mereka,O
,,,setiap,O
,,,kali,O
,,,kilat,O
,,,itu,O
,,,menyinari,O
,,,mereka,O
,,,mereka,O
,,,berjalan,O
,,,di,O
,,,bawah,O
,,,sinar,O
,,,itu,O
,,,dan,O
,,,bila,O
,,,gelap,O
,,,menimpa,O
,,,mereka,O
,,,mereka,O
,,,berhenti,O
,,,jikalau,O
,,,allah,O
,,,menghendaki,O
,,,niscaya,O
,,,dia,O
,,,melenyapkan,O
,,,pendengaran,O
,,,dan,O
,,,penglihatan,O
,,,mereka,O
,,,sesungguhnya,O
,,,allah,O
,,,berkuasa,O
,,,atas,O
,,,segala,O
,,,sesuatu,O
2,21,Sentence: 28,hai,O
,,,manusia,O
,,,sembahlah,O
,,,tuhanmu,O
,,,yang,O
,,,telah,O
,,,menciptakanmu,O
,,,dan,O
,,,orang-orang,B-PER
,,,yang,I-PER
,,,sebelummu,I-PER
,,,agar,O
,,,kamu,O
,,,bertakwa,O
2,22,Sentence: 29,dialah,O
,,,yang,O
,,,menjadikan,O
,,,bumi,O
,,,sebagai,O
,,,hamparan,O
,,,bagimu,O
,,,dan,O
,,,langit,O
,,,sebagai,O
,,,atap,O
,,,dan,O
,,,dia,O
,,,menurunkan,O
,,,air,O
,,,hujan,O
,,,dari,O
,,,langit,O
,,,lalu,O
,,,dia,O
,,,menghasilkan,O
,,,dengan,O
,,,hujan,O
,,,itu,O
,,,segala,O
,,,buah-buahan,O
,,,sebagai,O
,,,rezeki,O
,,,untukmu,O
,,,karena,O
,,,itu,O
,,,janganlah,O
,,,kamu,O
,,,mengadakan,O
,,,sekutu-sekutu,O
,,,bagi,O
,,,allah,O
,,,padahal,O
,,,kamu,O
,,,mengetahui,O
2,23,Sentence: 30,dan,O
,,,jika,O
,,,kamu,O
,,,tetap,O
,,,dalam,O
,,,keraguan,O
,,,tentang,O
,,,al,O
,,,quran,O
,,,yang,O
,,,kami,O
,,,wahyukan,O
,,,kepada,O
,,,hamba,O
,,,kami,O
,,,muhammad,O
,,,buatlah,O
,,,satu,O
,,,surat,O
,,,saja,O
,,,yang,O
,,,semisal,O
,,,al,O
,,,quran,O
,,,itu,O
,,,dan,O
,,,ajaklah,O
,,,penolong-penolongmu,O
,,,selain,O
,,,allah,O
,,,jika,O
,,,kamu,O
,,,orang-orang,B-PER
,,,yang,I-PER
,,,benar,I-PER
2,24,Sentence: 31,maka,O
,,,jika,O
,,,kamu,O
,,,tidak,O
,,,dapat,O
,,,membuat,O
,,,nya,O
,,,dan,O
,,,pasti,O
,,,kamu,O
,,,tidak,O
,,,akan,O
,,,dapat,O
,,,membuat,O
,,,nya,O
,,,peliharalah,O
,,,dirimu,O
,,,dari,O
,,,neraka,O
,,,yang,O
,,,bahan,O
,,,bakarnya,O
,,,manusia,O
,,,dan,O
,,,batu,O
,,,yang,O
,,,disediakan,O
,,,bagi,O
,,,orang-orang,B-PER
,,,kafir,I-PER
2,25,Sentence: 32,dan,O
,,,sampaikanlah,O
,,,berita,O
,,,gembira,O
,,,kepada,O
,,,mereka,B-PER
,,,yang,I-PER
,,,beriman,I-PER
,,,dan,O
,,,berbuat,O
,,,baik,O
,,,bahwa,O
,,,bagi,O
,,,mereka,O
,,,disediakan,O
,,,surga-surga,O
,,,yang,O
,,,mengalir,O
,,,sungai-sungai,O
,,,di,O
,,,dalamnya,O
,,,setiap,O
,,,mereka,O
,,,diberi,O
,,,rezeki,O
,,,buah-buahan,O
,,,dalam,O
,,,surga-surga,O
,,,itu,O
,,,mereka,O
,,,mengatakan,O
,,,inilah,O
,,,yang,O
,,,pernah,O
,,,diberikan,O
,,,kepada,O
,,,kami,O
,,,dahulu,O
,,,mereka,O
,,,diberi,O
,,,buah-buahan,O
,,,yang,O
,,,serupa,O
,,,dan,O
,,,untuk,O
,,,mereka,O
,,,di,O
,,,dalamnya,O
,,,ada,O
,,,isteri-isteri,O
,,,yang,O
,,,suci,O
,,,dan,O
,,,mereka,O
,,,kekal,O
,,,di,O
,,,dalamnya,O
2,26,Sentence: 33,sesungguhnya,O
,,,allah,O
,,,tiada,O
,,,segan,O
,,,membuat,O
,,,perumpamaan,O
,,,berupa,O
,,,nyamuk,O
,,,atau,O
,,,yang,O
,,,lebih,O
,,,rendah,O
,,,dari,O
,,,itu,O
,,,adapun,O
,,,orang-orang,B-PER
,,,yang,I-PER
,,,beriman,I-PER
,,,maka,O
,,,mereka,O
,,,yakin,O
,,,bahwa,O
,,,perumpamaan,O
,,,itu,O
,,,benar,O
,,,dari,O
,,,tuhan,O
,,,mereka,O
,,,tetapi,O
,,,mereka,B-PER
,,,yang,I-PER
,,,kafir,I-PER
,,,mengatakan,O
,,,apakah,O
,,,maksud,O
,,,allah,O
,,,menjadikan,O
,,,ini,O
,,,untuk,O
,,,perumpamaan,O
,,,dengan,O
,,,perumpamaan,O
,,,itu,O
,,,banyak,O
,,,orang,B-PER
,,,yang,I-PER
,,,disesatkan,I-PER
,,,allah,I-PER
,,,dan,O
,,,dengan,O
,,,perumpamaan,O
,,,itu,O
,,,pula,O
,,,banyak,O
,,,orang,O
,,,yang,O
,,,diberi-nya,O
,,,petunjuk,O
,,,dan,O
,,,tidak,O
,,,ada,O
,,,yang,O
,,,disesatkan,O
,,,allah,O
,,,kecuali,O
,,,orang-orang,B-PER
,,,yang,I-PER
,,,fasik,I-PER
2,27,Sentence: 34,yaitu,O
,,,orang-orang,B-PER
,,,yang,I-PER
,,,melanggar,I-PER
,,,perjanjian,I-PER
,,,allah,I-PER
,,,sesudah,O
,,,perjanjian,O
,,,itu,O
,,,teguh,O
,,,dan,O
,,,memutuskan,O
,,,apa,O
,,,yang,O
,,,diperintahkan,O
,,,allah,O
,,,kepada,O
,,,mereka,O
,,,untuk,O
,,,menghubungkannya,O
,,,dan,O
,,,membuat,O
,,,kerusakan,O
,,,di,O
,,,muka,O
,,,bumi,O
,,,mereka,O
,,,itulah,O
,,,orang-orang,B-PER
,,,yang,I-PER
,,,rugi,I-PER
2,28,Sentence: 35,mengapa,O
,,,kamu,O
,,,kafir,O
,,,kepada,O
,,,allah,O
,,,padahal,O
,,,kamu,O
,,,tadinya,O
,,,mati,O
,,,lalu,O
,,,allah,O
,,,menghidupkan,O
,,,kamu,O
,,,kemudian,O
,,,kamu,O
,,,dimatikan,O
,,,dan,O
,,,dihidupkan-nya,O
,,,kembali,O
,,,kemudian,O
,,,kepada-nya-lah,O
,,,kamu,O
,,,dikembalikan?,O
2,29,Sentence: 36,dialah,O
,,,allah,O
,,,yang,O
,,,menjadikan,O
,,,segala,O
,,,yang,O
,,,ada,O
,,,di,O
,,,bumi,O
,,,untuk,O
,,,kamu,O
,,,dan,O
,,,dia,O
,,,berkehendak,O
,,,menciptakan,O
,,,langit,O
,,,lalu,O
,,,dijadikan-nya,O
,,,tujuh,O
,,,langit,O
,,,dan,O
,,,dia,O
,,,maha,O
,,,mengetahui,O
,,,segala,O
,,,sesuatu,O
2,30,Sentence: 37,ingatlah,O
,,,ketika,O
,,,tuhanmu,O
,,,berfirman,O
,,,kepada,O
,,,para,O
,,,malaikat,O
,,,sesungguhnya,O
,,,aku,O
,,,hendak,O
,,,menjadikan,O
,,,seorang,O
,,,khalifah,O
,,,di,O
,,,muka,O
,,,bumi,O
,,,mereka,O
,,,berkata,O
,,,mengapa,O
,,,engkau,O
,,,hendak,O
,,,menjadikan,O
,,,khalifah,O
,,,di,O
,,,bumi,O
,,,itu,O
,,,orang,O
,,,yang,O
,,,akan,O
,,,membuat,O
,,,kerusakan,O
,,,padanya,O
,,,dan,O
,,,menumpahkan,O
,,,darah,O
,,,padahal,O
,,,kami,O
,,,senantiasa,O
,,,bertasbih,O
,,,dengan,O
,,,memuji,O
,,,engkau,O
,,,dan,O
,,,mensucikan,O
,,,engkau,O
,,,tuhan,O
,,,berfirman,O
,,,sesungguhnya,O
,,,aku,O
,,,mengetahui,O
,,,apa,O
,,,yang,O
,,,tidak,O
,,,kamu,O
,,,ketahui,O
2,31,Sentence: 38,dan,O
,,,dia,O
,,,mengajarkan,O
,,,kepada,O
,,,adam,B-PER
,,,nama-nama,O
,,,benda-benda,O
,,,seluruhnya,O
,,,kemudian,O
,,,mengemukakannya,O
,,,kepada,O
,,,para,O
,,,malaikat,O
,,,lalu,O
,,,berfirman,O
,,,sebutkanlah,O
,,,kepada-ku,O
,,,nama,O
,,,benda-benda,O
,,,itu,O
,,,jika,O
,,,kamu,O
,,,mamang,O
,,,benar,O
,,,orang-orang,B-PER
,,,yang,I-PER
,,,benar,I-PER
2,32,Sentence: 39,mereka,O
,,,menjawab,O
,,,maha,O
,,,suci,O
,,,engkau,O
,,,tidak,O
,,,ada,O
,,,yang,O
,,,kami,O
,,,ketahui,O
,,,selain,O
,,,dari,O
,,,apa,O
,,,yang,O
,,,telah,O
,,,engkau,O
,,,ajarkan,O
,,,kepada,O
,,,kami,O
,,,sesungguhnya,O
,,,engkaulah,O
,,,yang,O
,,,maha,O
,,,mengetahui,O
,,,lagi,O
,,,maha,O
,,,bijaksana,O
2,33,Sentence: 40,allah,O
,,,berfirman,O
,,,hai,O
,,,adam,B-PER
,,,beritahukanlah,O
,,,kepada,O
,,,mereka,O
,,,nama-nama,O
,,,benda,O
,,,ini,O
,,,maka,O
,,,setelah,O
,,,diberitahukannya,O
,,,kepada,O
,,,mereka,O
,,,nama-nama,O
,,,benda,O
,,,itu,O
,,,allah,O
,,,berfirman,O
,,,bukankah,O
,,,sudah,O
,,,ku-katakan,O
,,,kepadamu,O
,,,bahwa,O
,,,sesungguhnya,O
,,,aku,O
,,,mengetahui,O
,,,rahasia,O
,,,langit,O
,,,dan,O
,,,bumi,O
,,,dan,O
,,,mengetahui,O
,,,apa,O
,,,yang,O
,,,kamu,O
,,,lahirkan,O
,,,dan,O
,,,apa,O
,,,yang,O
,,,kamu,O
,,,sembunyikan,O
2,34,Sentence: 41,dan,O
,,,ingatlah,O
,,,ketika,O
,,,kami,O
,,,berfirman,O
,,,kepada,O
,,,para,O
,,,malaikat,O
,,,sujudlah,O
,,,kamu,O
,,,kepada,O
,,,adam,O
,,,maka,O
,,,sujudlah,O
,,,mereka,O
,,,kecuali,O
,,,iblis,O
,,,ia,O
,,,enggan,O
,,,dan,O
,,,takabur,O
,,,dan,O
,,,adalah,O
,,,ia,O
,,,termasuk,O
,,,golongan,O
,,,orang-orang,B-PER
,,,yang,I-PER
,,,kafir,I-PER
2,35,Sentence: 42,dan,O
,,,kami,O
,,,berfirman,O
,,,hai,O
,,,adam,B-PER
,,,diamilah,O
,,,oleh,O
,,,kamu,O
,,,dan,O
,,,isterimu,O
,,,surga,O
,,,ini,O
,,,dan,O
,,,makanlah,O
,,,makanan-makanannya,O
,,,yang,O
,,,banyak,O
,,,lagi,O
,,,baik,O
,,,dimana,O
,,,saja,O
,,,yang,O
,,,kamu,O
,,,sukai,O
,,,dan,O
,,,janganlah,O
,,,kamu,O
,,,dekati,O
,,,pohon,O
,,,ini,O
,,,yang,O
,,,menyebabkan,O
,,,kamu,O
,,,termasuk,O
,,,orang-orang,B-PER
,,,yang,I-PER
,,,zalim,I-PER
2,36,Sentence: 43,lalu,O
,,,keduanya,O
,,,digelincirkan,O
,,,oleh,O
,,,syaitan,O
,,,dari,O
,,,surga,O
,,,itu,O
,,,dan,O
,,,dikeluarkan,O
,,,dari,O
,,,keadaan,O
,,,semula,O
,,,dan,O
,,,kami,O
,,,berfirman,O
,,,turunlah,O
,,,kamu!,O
,,,sebagian,O
,,,kamu,O
,,,menjadi,O
,,,musuh,O
,,,bagi,O
,,,yang,O
,,,lain,O
,,,dan,O
,,,bagi,O
,,,kamu,O
,,,ada,O
,,,tempat,O
,,,kediaman,O
,,,di,O
,,,bumi,O
,,,dan,O
,,,kesenangan,O
,,,hidup,O
,,,sampai,O
,,,waktu,O
,,,yang,O
,,,ditentukan,O
2,37,Sentence: 44,kemudian,O
,,,adam,B-PER
,,,menerima,O
,,,beberapa,O
,,,kalimat,O
,,,dari,O
,,,tuhannya,O
,,,maka,O
,,,allah,O
,,,menerima,O
,,,taubatnya,O
,,,sesungguhnya,O
,,,allah,O
,,,maha,O
,,,penerima,O
,,,taubat,O
,,,lagi,O
,,,maha,O
,,,penyayang,O
2,38,Sentence: 45,kami,O
,,,berfirman,O
,,,turunlah,O
,,,kamu,O
,,,semuanya,O
,,,dari,O
,,,surga,O
,,,itu!,O
,,,kemudian,O
,,,jika,O
,,,datang,O
,,,petunjuk-ku,O
,,,kepadamu,O
,,,maka,O
,,,barang,O
,,,siapa,O
,,,yang,O
,,,mengikuti,O
,,,petunjuk-ku,O
,,,niscaya,O
,,,tidak,O
,,,ada,O
,,,kekhawatiran,O
,,,atas,O
,,,mereka,O
,,,dan,O
,,,tidak,O
,,,pula,O
,,,mereka,O
,,,bersedih,O
,,,hati,O
2,39,Sentence: 46,adapun,O
,,,orang-orang,B-PER
,,,yang,I-PER
,,,kafir,I-PER
,,,dan,O
,,,mendustakan,O
,,,ayat-ayat,O
,,,kami,O
,,,mereka,O
,,,itu,O
,,,penghuni,O
,,,neraka,O
,,,mereka,O
,,,kekal,O
,,,di,O
,,,dalamnya,O
2,40,Sentence: 47,hai,O
,,,bani,B-PER
,,,israil,I-PER
,,,ingatlah,O
,,,akan,O
,,,nikmat-ku,O
,,,yang,O
,,,telah,O
,,,aku,O
,,,anugerahkan,O
,,,kepadamu,O
,,,dan,O
,,,penuhilah,O
,,,janjimu,O
,,,kepada-ku,O
,,,niscaya,O
,,,aku,O
,,,penuhi,O
,,,janji-ku,O
,,,kepadamu,O
,,,dan,O
,,,hanya,O
,,,kepada-ku-lah,O
,,,kamu,O
,,,harus,O
,,,takut,O
,,,tunduk,O
2,41,Sentence: 48,dan,O
,,,berimanlah,O
,,,kamu,O
,,,kepada,O
,,,apa,O
,,,yang,O
,,,telah,O
,,,aku,O
,,,turunkan,O
,,,al,O
,,,quran,O
,,,yang,O
,,,membenarkan,O
,,,apa,O
,,,yang,O
,,,ada,O
,,,padamu,O
,,,taurat,O
,,,dan,O
,,,janganlah,O
,,,kamu,O
,,,menjadi,O
,,,orang,O
,,,yang,O
,,,pertama,O
,,,kafir,O
,,,kepadanya,O
,,,dan,O
,,,janganlah,O
,,,kamu,O
,,,menukarkan,O
,,,ayat-ayat-ku,O
,,,dengan,O
,,,harga,O
,,,yang,O
,,,rendah,O
,,,dan,O
,,,hanya,O
,,,kepada,O
,,,akulah,O
,,,kamu,O
,,,harus,O
,,,bertakwa,O
2,42,Sentence: 49,dan,O
,,,janganlah,O
,,,kamu,O
,,,campur,O
,,,adukkan,O
,,,yang,O
,,,hak,O
,,,dengan,O
,,,yang,O
,,,bathil,O
,,,dan,O
,,,janganlah,O
,,,kamu,O
,,,sembunyikan,O
,,,yang,O
,,,hak,O
,,,itu,O
,,,sedang,O
,,,kamu,O
,,,mengetahui,O
2,43,Sentence: 50,dan,O
,,,dirikanlah,O
,,,shalat,O
,,,tunaikanlah,O
,,,zakat,O
,,,dan,O
,,,ruku'lah,O
,,,beserta,O
,,,orang-orang,B-PER
,,,yang,I-PER
,,,ruku,I-PER
2,44,Sentence: 51,mengapa,O
,,,kamu,O
,,,suruh,O
,,,orang,O
,,,lain,O
,,,mengerjakan,O
,,,kebaktian,O
,,,sedang,O
,,,kamu,O
,,,melupakan,O
,,,diri,O
,,,kewajiban,O
,,,mu,O
,,,sendiri,O
,,,padahal,O
,,,kamu,O
,,,membaca,O
,,,al,O
,,,kitab,O
,,,taurat,O
,,,?,O
,,,maka,O
,,,tidaklah,O
,,,kamu,O
,,,berpikir,O
2,45,Sentence: 52,jadikanlah,O
,,,sabar,O
,,,dan,O
,,,shalat,O
,,,sebagai,O
,,,penolongmu,O
,,,dan,O
,,,sesungguhnya,O
,,,yang,O
,,,demikian,O
,,,itu,O
,,,sungguh,O
,,,berat,O
,,,kecuali,O
,,,bagi,O
,,,orang-orang,B-PER
,,,yang,I-PER
,,,khusyu,I-PER
2,46,Sentence: 53,yaitu,O
,,,orang-orang,B-PER
,,,yang,I-PER
,,,meyakini,I-PER
,,,bahwa,O
,,,mereka,O
,,,akan,O
,,,menemui,O
,,,tuhannya,O
,,,dan,O
,,,bahwa,O
,,,mereka,O
,,,akan,O
,,,kembali,O
,,,kepada-nya,O
2,47,Sentence: 54,hai,O
,,,bani,B-PER
,,,israil,I-PER
,,,ingatlah,O
,,,akan,O
,,,nikmat-ku,O
,,,yang,O
,,,telah,O
,,,aku,O
,,,anugerahkan,O
,,,kepadamu,O
,,,dan,O
,,,ingatlah,O
,,,pula,O
,,,bahwasanya,O
,,,aku,O
,,,telah,O
,,,melebihkan,O
,,,kamu,O
,,,atas,O
,,,segala,O
,,,umat,O
2,48,Sentence: 55,dan,O
,,,jagalah,O
,,,dirimu,O
,,,dari,O
,,,azab,O
,,,hari,O
,,,kiamat,O
,,,yang,O
,,,pada,O
,,,hari,O
,,,itu,O
,,,seseorang,O
,,,tidak,O
,,,dapat,O
,,,membela,O
,,,orang,O
,,,lain,O
,,,walau,O
,,,sedikitpun,O
,,,dan,O
,,,begitu,O
,,,pula,O
,,,tidak,O
,,,diterima,O
,,,syafa'at,O
,,,dan,O
,,,tebusan,O
,,,dari,O
,,,padanya,O
,,,dan,O
,,,tidaklah,O
,,,mereka,O
,,,akan,O
,,,ditolong,O
2,49,Sentence: 56,dan,O
,,,ingatlah,O
,,,ketika,O
,,,kami,O
,,,selamatkan,O
,,,kamu,O
,,,dari,O
,,,fir'aun,O
,,,dan,O
,,,pengikut-pengikutnya,O
,,,mereka,O
,,,menimpakan,O
,,,kepadamu,O
,,,siksaan,O
,,,yang,O
,,,seberat-beratnya,O
,,,mereka,O
,,,menyembelih,O
,,,anak-anakmu,O
,,,yang,O
,,,laki-laki,O
,,,dan,O
,,,membiarkan,O
,,,hidup,O
,,,anak-anakmu,O
,,,yang,O
,,,perempuan,O
,,,dan,O
,,,pada,O
,,,yang,O
,,,demikian,O
,,,itu,O
,,,terdapat,O
,,,cobaan-cobaan,O
,,,yang,O
,,,besar,O
,,,dari,O
,,,tuhanmu,O
2,50,Sentence: 57,dan,O
,,,ingatlah,O
,,,ketika,O
,,,kami,O
,,,belah,O
,,,laut,O
,,,untukmu,O
,,,lalu,O
,,,kami,O
,,,selamatkan,O
,,,kamu,O
,,,dan,O
,,,kami,O
,,,tenggelamkan,O
,,,fir'aun,O
,,,dan,O
,,,pengikut-pengikutnya,O
,,,sedang,O
,,,kamu,O
,,,sendiri,O
,,,menyaksikan,O
2,51,Sentence: 58,dan,O
,,,ingatlah,O
,,,ketika,O
,,,kami,O
,,,berjanji,O
,,,kepada,O
,,,musa,B-PER
,,,memberikan,O
,,,taurat,O
,,,sesudah,O
,,,empat,O
,,,puluh,O
,,,malam,O
,,,lalu,O
,,,kamu,O
